DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240206869,2/26/2024 0:00,2/26/2024 0:00,1000,2,Rampart,221,2,901,VIOLATION OF RESTRAINING ORDER,1817 2038 0913,37,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,901,,,,300 N  NEW HAMPSHIRE                AV,,34.0763,-118.2932
241315337,12/6/2024 0:00,12/4/2024 0:00,935,13,Newton,1323,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,33,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1000 E  25TH                         ST,,34.0202,-118.2557
241311818,7/30/2024 0:00,7/27/2024 0:00,2315,13,Newton,1309,1,330,BURGLARY FROM VEHICLE,0344 1307,26,M,B,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,1100    MATEO                        ST,,34.0306,-118.2322
241215035,9/6/2024 0:00,9/2/2024 0:00,1100,12,77th Street,1211,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202,74,M,B,514,GROUP HOME,,,IC,Invest Cont,440,,,,5300    ARLINGTON                    AV,,33.995,-118.3182
241309110,5/6/2024 0:00,5/6/2024 0:00,1555,13,Newton,1313,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,36,F,H,723,PRIVATE SCHOOL/PRESCHOOL,,,IC,Invest Cont,341,,,,1500    ESSEX                        ST,,34.0281,-118.2487
240706421,2/27/2024 0:00,2/27/2024 0:00,1410,7,Wilshire,736,1,210,ROBBERY,1309 0213 0302 0355,39,M,W,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,3RD,COCHRAN,34.0692,-118.3472
240608696,4/23/2024 0:00,4/6/2024 0:00,2155,6,Hollywood,666,1,330,BURGLARY FROM VEHICLE,1501,32,M,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,6200 W  SUNSET                       BL,,34.098,-118.3237
241216819,11/5/2024 0:00,10/7/2024 0:00,1100,12,77th Street,1232,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SLAUSON                      AV,CRENSHAW                     BL,33.989,-118.3309
241005678,2/16/2024 0:00,2/16/2024 0:00,1815,10,West Valley,1008,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1414,38,M,W,102,SIDEWALK,,,IC,Invest Cont,745,,,,7000    HAYVENHURST                  AV,,34.1975,-118.4924
240507128,3/23/2024 0:00,3/7/2024 0:00,1758,5,Harbor,563,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,41,F,B,145,MAIL BOX,,,IC,Invest Cont,440,,,,800 W  18TH                         ST,,33.7279,-118.2946
241216204,10/12/2024 0:00,8/12/2024 0:00,315,12,77th Street,1204,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,35,F,H,101,STREET,,,IC,Invest Cont,740,,,,1500 W  46TH                         ST,,34.0019,-118.3036
240119535,9/28/2024 0:00,9/28/2024 0:00,1430,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0325,0,M,O,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
241311473,7/23/2024 0:00,7/22/2024 0:00,2000,13,Newton,1323,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SAN PEDRO                    ST,25TH                         ST,34.0229,-118.2607
240314767,9/27/2024 0:00,9/27/2024 0:00,648,3,Southwest,311,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1822,48,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,2600 S  DUNSMUIR                     AV,,34.0325,-118.3595
241000565,2/17/2024 0:00,2/17/2024 0:00,1930,10,West Valley,1039,1,210,ROBBERY,1281 0376 0448 0213 0334 0302 0337 0418 1822 0216,64,M,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,210,998,,,6400    WHITMAN                      AV,,34.1866,-118.4765
240116585,8/12/2024 0:00,8/12/2024 0:00,130,1,Central,174,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 S  MAIN                         ST,,34.0428,-118.2532
241412882,9/6/2024 0:00,1/21/2024 0:00,1400,14,Pacific,1483,2,354,THEFT OF IDENTITY,1501,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7600 W  MANCHESTER                   AV,,33.9597,-118.4307
240707732,3/30/2024 0:00,3/30/2024 0:00,1810,7,Wilshire,724,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,415,THE GROVE,,,AA,Adult Arrest,442,,,,100    THE GROVE                    DR,,34.0736,-118.3563
241006407,3/7/2024 0:00,3/7/2024 0:00,550,10,West Valley,1018,1,310,BURGLARY,0321 1822 0344 1609 0216 0202 0206 0209,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,15700    STRATHERN                    ST,,34.2157,-118.4749
242004954,1/20/2024 0:00,1/20/2024 0:00,2340,20,Olympic,2049,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0444 1814 0340 0448 0429 2000 0416 0400 0419,18,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,2700    SAN MARINO                   ST,,34.0564,-118.2879
240608561,4/17/2024 0:00,4/13/2024 0:00,1031,6,Hollywood,645,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1501,42,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,7000    HOLLYWOOD                    BL,,34.1015,-118.3417
240111565,5/18/2024 0:00,5/18/2024 0:00,1740,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MATEO,SANTA FE,34.0419,-118.2328
240314725,9/26/2024 0:00,9/25/2024 0:00,30,3,Southwest,337,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1300 1822 0344,27,M,W,101,STREET,,,IC,Invest Cont,420,,,,2900 S  HARVARD                      BL,,34.0291,-118.3067
240110194,4/12/2024 0:00,4/11/2024 0:00,2319,1,Central,164,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329,21,F,B,101,STREET,,,IC,Invest Cont,330,,,,600 S  LOS ANGELES                  ST,,34.0446,-118.2507
240908569,4/29/2024 0:00,4/29/2024 0:00,710,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,0416 0603,60,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,14100    FRIAR                        ST,,34.1857,-118.44
241207753,3/4/2024 0:00,2/28/2024 0:00,1600,12,77th Street,1273,1,310,BURGLARY,344,52,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,9100 S  WESTERN                      AV,,33.9545,-118.309
